universe,ticker,company,market_ticker,data_mode,notes
QQQ,AAPL,Apple,AAPL,live,
QQQ,AMAT,Applied Materials,AMAT,live,
QQQ,AMD,Advanced Micro Devices,AMD,live,
QQQ,AMZN,Amazon,AMZN,live,
QQQ,AVGO,Broadcom,AVGO,live,
QQQ,COST,Costco Wholesale,COST,live,
QQQ,CSCO,Cisco Systems,CSCO,live,
QQQ,GOOGL,Alphabet,GOOGL,live,
QQQ,INTC,Intel,INTC,live,
QQQ,LRCX,Lam Research,LRCX,live,
QQQ,META,Meta Platforms,META,live,
QQQ,MSFT,Microsoft,MSFT,live,
QQQ,MU,Micron Technology,MU,live,
QQQ,NFLX,Netflix,NFLX,live,
QQQ,NVDA,NVIDIA,NVDA,live,
QQQ,PANW,Palo Alto Networks,PANW,live,
QQQ,PLTR,Palantir Technologies,PLTR,live,
QQQ,SPCX,SpaceX,,manual,Private company / manual market data required.
QQQ,TSLA,Tesla,TSLA,live,
QQQ,WMT,Walmart,WMT,live,
Healthcare,A,Agilent Technologies,A,live,
Healthcare,ABBV,AbbVie,ABBV,live,
Healthcare,ABT,Abbott Laboratories,ABT,live,
Healthcare,AMGN,Amgen,AMGN,live,
Healthcare,AZN,AstraZeneca,AZN,live,
Healthcare,BAYRY,Bayer,BAYRY,live,
Healthcare,BIO,Bio-Rad Laboratories,BIO,live,
Healthcare,BMY,Bristol Myers Squibb,BMY,live,
Healthcare,DHR,Danaher,DHR,live,
Healthcare,GH,Guardant Health,GH,live,
Healthcare,GILD,Gilead Sciences,GILD,live,
Healthcare,GSK,GSK,GSK,live,
Healthcare,ILMN,Illumina,ILMN,live,
Healthcare,JNJ,Johnson & Johnson,JNJ,live,
Healthcare,LLY,Eli Lilly,LLY,live,
Healthcare,MRK,Merck,MRK,live,
Healthcare,NTRA,Natera,NTRA,live,
Healthcare,NVO,Novo Nordisk,NVO,live,
Healthcare,NVS,Novartis,NVS,live,
Healthcare,PFE,Pfizer,PFE,live,
Healthcare,REGN,Regeneron,REGN,live,
Healthcare,RHHBY,Roche,RHHBY,live,
Healthcare,SNY,Sanofi,SNY,live,
Healthcare,TMO,Thermo Fisher Scientific,TMO,live,
Healthcare,VRTX,Vertex Pharmaceuticals,VRTX,live,
