Universe,Ticker,Company,Coverage,EQ Composite,Valuation Composite,Guidance Credibility,Guidance Confidence,Guidance Obs,Conf-Adj Guidance,Current Price,Market Bear,Market Base,Market Bull,Fundamental Bear,Fundamental Base,Fundamental Bull,Market Wt,Fundamental Wt,Hybrid Bear,Hybrid Base,Hybrid Bull,Bear %,Base %,Bull %,Scenario Score,Fundamental Integrated,Market Method,Fundamental Method,Scenario Mix,Model Note
Healthcare,REGN,Regeneron,B,82,75,,N/A,0,,794.19,635.3520000000001,873.6090000000002,1111.866,690,930,1120,0.5,0.5,662.676,901.8045000000001,1115.933,-0.16559513466550824,0.1355022097986629,0.40512094083279804,48.30479122484184,69.61905624260054,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,META,Meta Platforms,A,83.06612499999999,60.31011727272727,69.46135064935065,Medium/Low,2,55.56908051948052,572.34,539.4336872171947,801.2112556561088,987.2500813065611,336.9682870848392,604.1355665012455,1023.8343548332876,0.5,0.5,438.20098715101693,702.6734110786772,1005.5422180699244,-0.23436945320785385,0.22772025558003484,0.7568966314951329,59.35990967125099,66.188212177553,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,SNY,Sanofi,B,90,80,33,Low,1,21.45,44.82,35.856,49.30200000000001,62.748,37,52,63,0.5,0.5,36.428,50.651,62.873999999999995,-0.18723784024988854,0.13009817045961625,0.4028112449799195,46.99137821125772,65.96534455281443,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,RHHBY,Roche,B,80,70,56.8,High,5,56.8,55.19,44.152,60.709,77.26599999999999,47,62,74,0.5,0.5,45.576,61.3545,75.633,-0.17419822431599918,0.1116959594129372,0.3704113063960863,45.70030802681646,64.94507700670411,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,BMY,Bristol Myers Squibb,B,80,85,28.9,Medium/Low,2,23.12,66.58,53.264,73.238,93.21199999999999,48,74,91,0.5,0.5,50.632000000000005,73.619,92.106,-0.23953139080805042,0.10572243917092217,0.38338840492640425,42.82506544221774,63.67426636055444,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,VRTX,Vertex Pharmaceuticals,B,84,60,56.8,High,5,56.8,541.69,433.3520000000001,595.8590000000002,758.366,440,560,760,0.5,0.5,436.67600000000004,577.9295000000001,759.183,-0.19386364895050678,0.06690081042662777,0.4015082427218519,43.05764630798321,62.484411576995804,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,NVDA,NVIDIA,A,92.99824999999998,29.0277,40.640527472527495,High,5,40.640527472527495,220.78,327.51046280087536,468.31206236323857,643.5139154814004,70.74593499008641,126.83726377531596,214.95233077947327,0.5,0.5,199.1281988954809,297.5746630692773,429.23312313043687,-0.09806957652196358,0.34783342272523443,0.9441666959436401,76.86839043862564,61.920961730535524,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,AMGN,Amgen,B,80,55,70.68,Medium,3,63.61200000000001,432.42,345.93600000000004,475.66200000000003,605.388,365,460,575,0.5,0.5,355.468,467.831,590.194,-0.1779566162527173,0.08189029184589058,0.3648628648073631,43.69398633603573,60.96529658400893,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,TMO,Thermo Fisher Scientific,B,83,60,52,High,5,52,622.18,497.74399999999997,684.398,871.0519999999999,489,634,794,0.5,0.5,493.37199999999996,659.1990000000001,832.526,-0.20702690539715196,0.05949885885113648,0.33807901250441996,40.473054421550046,60.81826360538751,Standardized scenario proxy (reconstruction),50% EPS-multiple + 50% FCF-yield,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,ABT,Abbott Laboratories,B,80,50,72,High,5,72,112.47,89.976,123.71700000000001,157.458,99,110,155,0.5,0.5,94.488,116.8585,156.22899999999998,-0.1598826353694318,0.03901929403396465,0.3890726415933137,42.64019611578961,60.460049028947395,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,MSFT,Microsoft,A,89.08623,45.94382227272727,,N/A,0,,507.29,475.00656220794406,686.550245521807,823.44496081581,234.9177170088564,423.89356813692353,722.3242971735724,0.5,0.5,354.9621396084002,555.2219068293653,772.8846289946912,-0.30027767232076286,0.09448620479285075,0.5235558142180827,43.02953032243874,60.31340972050337,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,ABBV,AbbVie,B,87,55,57.8,Medium/Low,2,46.24,255.48,204.38400000000001,281.028,357.67199999999997,215,255,350,0.5,0.5,209.692,268.014,353.836,-0.17922342257710966,0.04906059182714895,0.3849851260372632,42.26563723187725,60.10240930796931,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,GSK,GSK,B,80,70,33,Low,1,21.45,50.82,40.656000000000006,55.90200000000001,71.148,42,57,68,0.5,0.5,41.328,56.45100000000001,69.574,-0.18677685950413214,0.11080283353010634,0.3690279417552145,45.064372856580654,59.483593214145166,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
