Opportunity Rank,Universe,Ticker,Company,Coverage,Fundamental Integrated Score,Adjusted News Sentiment,Materiality,Materiality Factor,Sentiment Overlay,Opportunity Score,Sentiment Momentum,Catalyst Risk,Quadrant,Bear Return,Base Return,Bull Return,Guidance Credibility,Confidence,Scenario Score,Key News,Primary Source,Secondary Source
1,Healthcare,REGN,Regeneron,B,69.61905624260054,69.6,Major,1.0,0.9799999999999998,70.59905624260054,-12,70,High Fundamentals / Positive Catalyst,-0.16559513466550824,0.1355022097986629,0.40512094083279804,,N/A,48.30479122484184,Strong Q2 growth; FDA gene-therapy approval / pipeline progress,https://www.sec.gov/Archives/edgar/data/872589/000087258926000023/exhibit991q22026.htm,https://www.fda.gov/news-events/press-announcements/fda-approves-first-ever-gene-therapy-treatment-genetic-hearing-loss-under-national-priority-voucher
2,QQQ,META,Meta Platforms,A,66.188212177553,59.8,Major,1.0,0.4899999999999999,66.678212177553,2,65,High Fundamentals / Positive Catalyst,-0.23436945320785385,0.22772025558003484,0.7568966314951329,69.46135064935065,Medium/Low,59.35990967125099,Large child-safety settlement clears overhang but adds cost; AI/ad optimism,https://investor.atmeta.com/investor-news/press-release-details/2026/Meta-Reports-Second-Quarter-2026-Results/default.aspx,https://www.ft.com/content/34318a35-b2ad-4f0f-af74-c5d09bfcd23e
3,Healthcare,SNY,Sanofi,B,65.96534455281443,65.3,Moderate,0.7,0.5354999999999999,66.50084455281443,-17,60,High Fundamentals / Positive Catalyst,-0.18723784024988854,0.13009817045961625,0.4028112449799195,33.0,Low,46.99137821125772,Q2 double-digit growth; guidance upgraded; competitive MS read-through,https://www.sanofi.com/en/media-room/press-releases/2026/2026-07-30-05-30-00-3335767,
4,Healthcare,RHHBY,Roche,B,64.94507700670411,72.6,Major,1.0,1.1299999999999997,66.0750770067041,3,60,High Fundamentals / Positive Catalyst,-0.17419822431599918,0.1116959594129372,0.3704113063960863,56.8,High,45.70030802681646,Strong H1 CER growth; FDA-cleared Alzheimer blood test,https://www.roche.com/media/releases/med-cor-2026-07-23,https://diagnostics.roche.com/us/en/news-listing/2026/fda-elecsys-ptau217-alzheimers-blood-test.html
5,Healthcare,VRTX,Vertex Pharmaceuticals,B,62.484411576995804,78.2,Major,1.0,1.4100000000000001,63.89441157699581,-22,80,High Fundamentals / Positive Catalyst,-0.19386364895050678,0.06690081042662777,0.4015082427218519,56.8,High,43.05764630798321,Q2 growth + raised guide; Crinetics acquisition; FDA/BLA progress,https://news.vrtx.com/news-releases/news-release-details/vertex-reports-second-quarter-2026-financial-results,
6,Healthcare,BMY,Bristol Myers Squibb,B,63.67426636055444,54.0,Major,1.0,0.2,63.874266360554444,-23,85,Neutral / Watch,-0.23953139080805042,0.10572243917092217,0.38338840492640425,28.9,Medium/Low,42.82506544221774,"Q2/outlook raised, but autoimmune CAR-T program paused on inflammatory events",https://www.sec.gov/Archives/edgar/data/14272/000001427226000018/a2026q2ex991-filing.htm,https://www.wsj.com/health/pharma/novartis-pauses-autoimmune-cell-therapy-studies-after-deaths-62113d35
7,QQQ,NVDA,NVIDIA,A,61.920961730535524,80.9,Major,1.0,1.5450000000000004,63.465961730535525,-10,65,High Fundamentals / Positive Catalyst,-0.09806957652196358,0.34783342272523443,0.9441666959436401,40.640527472527495,High,76.86839043862564,Huge AI-driven Q2 beat/guide; margin/circular-financing concerns,https://apnews.com/article/dc8d556e709b50915cca9217a60b1991,https://www.ft.com/
8,Healthcare,AMGN,Amgen,B,60.96529658400893,63.6,Moderate,0.7,0.4760000000000001,61.44129658400893,-13,55,High Fundamentals / Positive Catalyst,-0.1779566162527173,0.08189029184589058,0.3648628648073631,70.68,Medium,43.69398633603573,Q2 + positive regulatory momentum; Repatha/Imdylltra,https://www.amgen.com/newsroom/press-releases,
9,Healthcare,TMO,Thermo Fisher Scientific,B,60.81826360538751,64.0,Moderate,0.7,0.49,61.30826360538751,-23,40,High Fundamentals / Positive Catalyst,-0.20702690539715196,0.05949885885113648,0.33807901250441996,52.0,High,40.473054421550046,Q2 growth/organic acceleration; recent share weakness,https://ir.thermofisher.com/investors/news-events/news/news-details/2026/Thermo-Fisher-Scientific-Reports-Second-Quarter-2026-Results/,
10,QQQ,MSFT,Microsoft,A,60.31340972050337,75.9,Moderate,0.7,0.9065000000000002,61.219909720503374,-6,55,High Fundamentals / Positive Catalyst,-0.30027767232076286,0.09448620479285075,0.5235558142180827,,N/A,43.02953032243874,AI/cloud confidence returned; disclosure/capex transparency concerns,https://www.marketwatch.com/story/microsofts-stock-seals-its-longest-winning-streak-of-the-year-as-ai-software-fears-fade-e5669f5b,
